Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP10_QP42,52.59,2.95,0.55,QP10_QP42,52.59,2.52,0.5509999999999999,QP10_QP42,54.66,2.19,0.502
QP10_QP45,49.89,3.02,0.509,QP10_QP45,50.44,2.65,0.5309999999999999,QP10_QP45,54.5,1.37,0.516
QP15_QP16,93.11,1.5,0.9810000000000001,QP15_QP16,91.28,3.62,0.976,QP15_QP16,50.5,0.81,0.361
QP15_QP20,75.02,5.4,0.844,QP15_QP20,72.96,5.6,0.8390000000000001,QP15_QP20,53.83,1.58,0.489
QP15_QP24,72.24,4.45,0.836,QP15_QP24,68.32,3.89,0.8130000000000001,QP15_QP24,53.33,1.76,0.492
QP15_QP27,68.91,5.35,0.779,QP15_QP27,70.28,3.41,0.76,QP15_QP27,55.0,1.76,0.51
QP15_QP32,59.17,3.25,0.632,QP15_QP32,61.76,3.75,0.641,QP15_QP32,55.83,2.97,0.526
QP15_QP39,57.91,2.19,0.633,QP15_QP39,57.31,3.19,0.624,QP15_QP39,55.83,2.39,0.518
QP15_QP42,52.98,2.79,0.531,QP15_QP42,53.61,2.96,0.556,QP15_QP42,54.0,1.79,0.496
QP15_QP45,52.65,1.87,0.532,QP15_QP45,52.81,3.92,0.536,QP15_QP45,55.83,2.75,0.528
QP20_QP24,69.13,4.66,0.79,QP20_QP24,64.8,2.95,0.7849999999999999,QP20_QP24,53.17,2.54,0.481
QP20_QP27,74.2,4.91,0.849,QP20_QP27,76.57,2.78,0.8290000000000001,QP20_QP27,56.67,1.92,0.537
QP20_QP32,66.3,4.99,0.727,QP20_QP32,69.43,5.32,0.755,QP20_QP32,55.66,2.11,0.542
QP20_QP39,59.26,1.92,0.651,QP20_QP39,59.17,1.91,0.657,QP20_QP39,54.5,2.36,0.513
QP20_QP42,55.43,3.01,0.575,QP20_QP42,56.8,2.48,0.599,QP20_QP42,55.17,1.66,0.52
QP20_QP45,55.0,4.46,0.563,QP20_QP45,55.63,1.83,0.588,QP20_QP45,56.16,2.49,0.532
QP25_QP27,80.46,6.3,0.889,QP25_QP27,81.69,3.2,0.884,QP25_QP27,58.5,2.66,0.54
QP25_QP32,71.72,4.64,0.7889999999999999,QP25_QP32,73.85,2.33,0.795,QP25_QP32,59.34,2.63,0.588
QP25_QP39,63.74,4.51,0.7230000000000001,QP25_QP39,68.09,5.52,0.741,QP25_QP39,57.33,1.79,0.554
QP25_QP42,59.48,3.56,0.6439999999999999,QP25_QP42,59.91,3.81,0.649,QP25_QP42,56.34,2.05,0.528
QP25_QP45,54.65,4.22,0.588,QP25_QP45,56.67,4.47,0.608,QP25_QP45,56.84,2.15,0.531
QP30_QP32,76.48,4.72,0.8400000000000001,QP30_QP32,77.8,4.7,0.85,QP30_QP32,62.17,2.49,0.5820000000000001
QP30_QP39,67.96,2.05,0.76,QP30_QP39,68.11,4.23,0.762,QP30_QP39,58.17,2.88,0.568
