Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
LINEAR35,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR36,80.0,100.0,90.0,1.18,91.67,88.33,1.0,0.0,1.0,1.0
LINEAR37,71.85,100.0,85.93,1.69,88.33,83.33,1.0,0.0,1.0,1.0
LINEAR38,75.56,91.11,83.33,2.36,86.67,80.0,0.95,0.01,0.97,0.93
LINEAR39,98.89,98.52,98.7,1.62,100.0,96.67,1.0,0.0,1.0,1.0
LINEAR40,81.48,96.67,89.07,0.88,90.0,88.33,0.98,0.01,0.98,0.97
LINEAR41,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR42,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR43,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR44,80.0,100.0,90.0,1.18,91.67,88.33,1.0,0.0,1.0,1.0
LINEAR45,71.85,100.0,85.93,1.69,88.33,83.33,1.0,0.0,1.0,1.0
LINEAR46,75.56,100.0,87.78,0.83,88.33,86.67,1.0,0.0,1.0,1.0
LINEAR47,87.78,100.0,93.89,0.83,95.0,93.33,0.97,0.0,0.98,0.96
LINEAR48,98.89,96.67,97.78,2.2,100.0,95.0,1.0,0.0,1.0,1.0
LINEAR49,81.48,96.67,89.07,0.88,90.0,88.33,0.98,0.01,0.99,0.97
LINEAR50,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR51,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR52,91.11,100.0,95.56,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR53,80.0,100.0,90.0,1.18,91.67,88.33,1.0,0.0,1.0,1.0
LINEAR54,71.85,100.0,85.93,1.69,88.33,83.33,1.0,0.0,1.0,1.0
LINEAR55,75.56,100.0,87.78,0.83,88.33,86.67,1.0,0.0,1.0,1.0
LINEAR56,87.78,100.0,93.89,0.83,95.0,93.33,1.0,0.0,1.0,1.0
LINEAR57,65.56,100.0,82.78,0.83,83.33,81.67,0.98,0.01,1.0,0.97
LINEAR58,98.89,82.22,90.56,1.67,91.67,88.33,0.98,0.0,0.99,0.97
LINEAR59,81.48,90.74,86.11,1.86,88.33,83.33,0.93,0.01,0.94,0.91
LINEAR60,100.0,82.96,91.48,4.52,95.0,85.0,1.0,0.0,1.0,0.99
LINEAR61,91.11,90.0,90.56,3.0,93.33,86.67,0.98,0.01,0.99,0.95
LINEAR62,91.11,84.81,87.96,0.73,88.33,86.67,0.94,0.01,0.95,0.93
LINEAR63,80.0,90.37,85.19,1.94,88.33,81.67,0.91,0.01,0.92,0.9
LINEAR64,71.85,92.59,82.22,3.44,86.67,78.33,0.92,0.02,0.94,0.9
LINEAR65,75.56,86.3,80.93,2.06,83.33,78.33,0.91,0.01,0.93,0.9
LINEAR66,87.78,95.56,91.67,0.83,93.33,90.0,0.95,0.0,0.96,0.94
LINEAR67,65.56,91.11,78.33,1.44,80.0,76.67,0.9,0.02,0.93,0.88
LINEAR68,100.0,20.37,60.19,1.0,61.67,58.33,0.86,0.01,0.88,0.85
LINEAR69,91.11,19.63,55.37,2.0,58.33,53.33,0.65,0.01,0.66,0.64
LINEAR70,91.11,18.89,55.0,2.5,56.67,51.67,0.65,0.01,0.67,0.65
LINEAR71,80.0,38.52,59.26,2.52,61.67,55.0,0.62,0.02,0.64,0.6
LINEAR72,71.85,42.96,57.41,1.88,60.0,55.0,0.6,0.01,0.62,0.58
LINEAR73,75.56,22.22,48.89,1.67,51.67,46.67,0.48,0.02,0.51,0.46
LINEAR74,87.78,27.04,57.41,1.21,58.33,55.0,0.57,0.01,0.59,0.55
LINEAR75,65.56,32.96,49.26,2.22,53.33,46.67,0.5,0.0,0.51,0.5
LINEAR76,100.0,88.52,94.26,0.88,95.0,93.33,1.0,0.0,1.0,1.0
LINEAR77,91.11,48.15,69.63,2.47,71.67,65.0,0.84,0.01,0.85,0.83
LINEAR78,91.11,44.07,67.59,2.52,70.0,63.33,0.77,0.0,0.78,0.76
LINEAR79,80.0,50.37,65.19,1.55,68.33,63.33,0.71,0.01,0.73,0.69
LINEAR80,71.85,45.19,58.52,1.0,60.0,56.67,0.63,0.0,0.64,0.62
LINEAR81,75.56,40.37,57.96,2.32,60.0,53.33,0.59,0.03,0.64,0.56
LINEAR82,87.78,28.52,58.15,1.3,60.0,56.67,0.55,0.01,0.57,0.53
LINEAR83,65.56,31.11,48.33,1.67,50.0,45.0,0.49,0.01,0.5,0.47
LINEAR84,91.11,35.93,63.52,2.42,66.67,60.0,0.77,0.0,0.78,0.76
LINEAR85,80.0,68.15,74.07,0.88,75.0,73.33,0.79,0.01,0.81,0.78
LINEAR86,71.85,81.11,76.48,1.76,78.33,73.33,0.84,0.02,0.86,0.81
LINEAR87,75.56,36.67,56.11,1.67,58.33,53.33,0.61,0.01,0.63,0.59
LINEAR88,87.78,27.04,57.41,2.37,60.0,51.67,0.56,0.01,0.57,0.55
LINEAR89,65.56,50.0,57.78,2.64,60.0,53.33,0.64,0.01,0.65,0.62
