Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC,Model,Average Test Score Mean,Average Test Score Std,Average AUC
QP20_QP42,49.91,3.07,0.466,QP20_QP42,48.59,6.4,0.48200000000000004,QP20_QP42,56.0,1.79,0.525
QP20_QP45,52.57,3.73,0.548,QP20_QP45,50.24,3.56,0.472,QP20_QP45,56.5,2.15,0.529
QP25_QP27,61.13,6.12,0.694,QP25_QP27,64.83,3.25,0.7060000000000001,QP25_QP27,57.83,2.84,0.528
QP25_QP32,53.05,2.7,0.584,QP25_QP32,55.33,2.72,0.594,QP25_QP32,58.17,1.83,0.5780000000000001
QP25_QP39,54.48,3.52,0.557,QP25_QP39,53.48,7.65,0.576,QP25_QP39,59.17,1.8,0.56
QP25_QP42,50.65,3.66,0.515,QP25_QP42,50.0,5.49,0.507,QP25_QP42,55.5,3.34,0.515
QP25_QP45,51.52,3.08,0.513,QP25_QP45,49.11,5.05,0.504,QP25_QP45,56.5,2.14,0.538
QP30_QP32,62.28,3.37,0.678,QP30_QP32,56.91,4.92,0.683,QP30_QP32,59.33,1.79,0.5559999999999999
QP30_QP39,58.35,5.84,0.606,QP30_QP39,57.43,4.76,0.613,QP30_QP39,58.17,2.42,0.5700000000000001
QP30_QP42,51.33,2.54,0.512,QP30_QP42,52.42,5.24,0.517,QP30_QP42,58.0,2.46,0.563
QP30_QP45,52.09,2.83,0.528,QP30_QP45,48.44,3.05,0.488,QP30_QP45,57.17,2.09,0.5559999999999999
QP32_QP39,49.92,3.32,0.503,QP32_QP39,52.19,5.15,0.536,QP32_QP39,59.5,2.73,0.601
QP32_QP42,53.28,3.39,0.528,QP32_QP42,53.35,6.03,0.558,QP32_QP42,58.0,3.32,0.568
QP32_QP45,55.22,3.98,0.579,QP32_QP45,54.63,4.23,0.5589999999999999,QP32_QP45,57.67,2.25,0.554
QP35_QP39,58.37,5.09,0.6439999999999999,QP35_QP39,60.67,6.73,0.65,QP35_QP39,60.5,1.77,0.593
QP35_QP42,52.8,4.32,0.529,QP35_QP42,53.65,7.97,0.55,QP35_QP42,58.83,2.94,0.586
QP35_QP45,53.52,4.45,0.5690000000000001,QP35_QP45,50.57,3.23,0.527,QP35_QP45,59.0,1.61,0.576
QP40_QP42,69.2,3.0,0.753,QP40_QP42,69.19,5.11,0.763,QP40_QP42,65.5,2.94,0.662
QP40_QP45,56.41,4.9,0.591,QP40_QP45,52.3,2.98,0.54,QP40_QP45,62.0,1.72,0.611
