Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD37,100.0,100.0,100.0,0.0,100.0,100.0
OLD38,80.0,70.0,75.0,0.0,75.0,75.0
OLD39,100.0,100.0,100.0,0.0,100.0,100.0
OLD40,100.0,100.0,100.0,0.0,100.0,100.0
OLD41,100.0,100.0,100.0,0.0,100.0,100.0
OLD42,100.0,100.0,100.0,0.0,100.0,100.0
OLD43,100.0,100.0,100.0,0.0,100.0,100.0
OLD44,100.0,100.0,100.0,0.0,100.0,100.0
OLD45,100.0,100.0,100.0,0.0,100.0,100.0
OLD46,100.0,100.0,100.0,0.0,100.0,100.0
OLD47,76.67,100.0,88.33,0.0,88.33,88.33
OLD48,100.0,100.0,100.0,0.0,100.0,100.0
OLD49,100.0,100.0,100.0,0.0,100.0,100.0
OLD50,100.0,100.0,100.0,0.0,100.0,100.0
OLD51,100.0,100.0,100.0,0.0,100.0,100.0
OLD52,100.0,100.0,100.0,0.0,100.0,100.0
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,100.0,100.0,100.0,0.0,100.0,100.0
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,0.0,100.0,50.0,0.0,50.0,50.0
OLD60,0.0,100.0,50.0,0.0,50.0,50.0
OLD61,90.0,10.0,50.0,0.0,50.0,50.0
OLD62,60.0,43.33,51.67,0.0,51.67,51.67
OLD63,0.0,100.0,50.0,0.0,50.0,50.0
OLD64,0.0,100.0,50.0,0.0,50.0,50.0
OLD65,30.0,83.33,56.67,0.0,56.67,56.67
OLD66,26.67,93.33,60.0,0.0,60.0,60.0
OLD67,50.0,80.0,65.0,0.0,65.0,65.0
OLD68,83.33,26.67,55.0,0.0,55.0,55.0
OLD69,3.33,96.67,50.0,0.0,50.0,50.0
OLD70,66.67,43.33,55.0,0.0,55.0,55.0
OLD71,76.67,43.33,60.0,0.0,60.0,60.0
OLD72,76.67,36.67,56.67,0.0,56.67,56.67
OLD73,30.0,76.67,53.33,0.0,53.33,53.33
OLD74,16.67,86.67,51.67,0.0,51.67,51.67
OLD75,13.33,96.67,55.0,0.0,55.0,55.0
OLD76,0.0,100.0,50.0,0.0,50.0,50.0
OLD77,66.67,36.67,51.67,0.0,51.67,51.67
OLD78,90.0,16.67,53.33,0.0,53.33,53.33
OLD79,76.67,33.33,55.0,0.0,55.0,55.0
OLD80,20.0,90.0,55.0,0.0,55.0,55.0
OLD81,40.0,63.33,51.67,0.0,51.67,51.67
OLD82,26.67,76.67,51.67,0.0,51.67,51.67
OLD83,13.33,90.0,51.67,0.0,51.67,51.67
OLD84,70.0,33.33,51.67,0.0,51.67,51.67
OLD85,76.67,33.33,55.0,0.0,55.0,55.0
OLD86,46.67,73.33,60.0,0.0,60.0,60.0
OLD87,30.0,73.33,51.67,0.0,51.67,51.67
OLD88,16.67,93.33,55.0,0.0,55.0,55.0
OLD89,13.33,96.67,55.0,0.0,55.0,55.0
OLD90,26.67,90.0,58.33,0.0,58.33,58.33
OLD91,46.67,73.33,60.0,0.0,60.0,60.0
OLD92,30.0,80.0,55.0,0.0,55.0,55.0
OLD93,76.67,33.33,55.0,0.0,55.0,55.0
OLD94,13.33,100.0,56.67,0.0,56.67,56.67
OLD95,30.0,90.0,60.0,0.0,60.0,60.0
OLD96,30.0,83.33,56.67,0.0,56.67,56.67
OLD97,50.0,63.33,56.67,0.0,56.67,56.67
OLD98,50.0,63.33,56.67,0.0,56.67,56.67
OLD99,80.0,43.33,61.67,0.0,61.67,61.67
OLD100,50.0,63.33,56.67,0.0,56.67,56.67
OLD101,50.0,73.33,61.67,0.0,61.67,61.67
OLD102,30.0,90.0,60.0,0.0,60.0,60.0
OLD103,50.0,66.67,58.33,0.0,58.33,58.33
OLD104,20.0,96.67,58.33,0.0,58.33,58.33
OLD105,50.0,76.67,63.33,0.0,63.33,63.33
OLD106,20.0,100.0,60.0,0.0,60.0,60.0
