Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
LINEAR100,88.52,44.81,66.67,3.44,71.67,60.0
LINEAR101,52.59,60.74,56.67,2.64,61.67,53.33
LINEAR102,68.15,78.89,73.52,1.76,75.0,70.0
LINEAR103,80.0,59.63,69.81,3.95,73.33,60.0
LINEAR104,61.85,63.7,62.78,3.63,66.67,55.0
LINEAR105,75.19,76.3,75.74,2.22,78.33,71.67
LINEAR106,61.85,74.44,68.15,2.12,71.67,65.0
OLD1,16.67,96.67,56.67,0.0,56.67,56.67
OLD2,80.0,100.0,90.0,0.0,90.0,90.0
OLD3,0.0,100.0,50.0,0.0,50.0,50.0
OLD4,73.33,100.0,86.67,0.0,86.67,86.67
OLD5,80.0,70.0,75.0,0.0,75.0,75.0
OLD6,96.67,10.0,53.33,0.0,53.33,53.33
OLD7,86.67,100.0,93.33,0.0,93.33,93.33
OLD8,80.0,100.0,90.0,0.0,90.0,90.0
OLD9,86.67,63.33,75.0,0.0,75.0,75.0
OLD10,80.0,56.67,68.33,0.0,68.33,68.33
OLD11,90.0,23.33,56.67,0.0,56.67,56.67
OLD12,100.0,100.0,100.0,0.0,100.0,100.0
OLD13,100.0,100.0,100.0,0.0,100.0,100.0
OLD14,100.0,100.0,100.0,0.0,100.0,100.0
OLD15,100.0,100.0,100.0,0.0,100.0,100.0
OLD16,100.0,100.0,100.0,0.0,100.0,100.0
OLD17,83.33,90.0,86.67,0.0,86.67,86.67
OLD18,100.0,100.0,100.0,0.0,100.0,100.0
OLD19,100.0,100.0,100.0,0.0,100.0,100.0
OLD20,100.0,100.0,100.0,0.0,100.0,100.0
OLD21,100.0,100.0,100.0,0.0,100.0,100.0
OLD22,100.0,100.0,100.0,0.0,100.0,100.0
OLD23,93.33,100.0,96.67,0.0,96.67,96.67
OLD24,100.0,100.0,100.0,0.0,100.0,100.0
OLD25,100.0,100.0,100.0,0.0,100.0,100.0
OLD26,100.0,100.0,100.0,0.0,100.0,100.0
OLD27,100.0,100.0,100.0,0.0,100.0,100.0
OLD28,100.0,100.0,100.0,0.0,100.0,100.0
OLD29,100.0,100.0,100.0,0.0,100.0,100.0
OLD30,93.33,96.67,95.0,0.0,95.0,95.0
OLD31,100.0,100.0,100.0,0.0,100.0,100.0
OLD32,100.0,100.0,100.0,0.0,100.0,100.0
OLD33,100.0,100.0,100.0,0.0,100.0,100.0
OLD34,100.0,100.0,100.0,0.0,100.0,100.0
OLD35,100.0,100.0,100.0,0.0,100.0,100.0
OLD36,100.0,100.0,100.0,0.0,100.0,100.0
OLD37,100.0,100.0,100.0,0.0,100.0,100.0
OLD38,43.33,96.67,70.0,0.0,70.0,70.0
OLD39,100.0,100.0,100.0,0.0,100.0,100.0
OLD40,100.0,100.0,100.0,0.0,100.0,100.0
OLD41,100.0,100.0,100.0,0.0,100.0,100.0
OLD42,100.0,100.0,100.0,0.0,100.0,100.0
OLD43,100.0,100.0,100.0,0.0,100.0,100.0
OLD44,100.0,100.0,100.0,0.0,100.0,100.0
OLD45,100.0,100.0,100.0,0.0,100.0,100.0
OLD46,100.0,100.0,100.0,0.0,100.0,100.0
OLD47,73.33,96.67,85.0,0.0,85.0,85.0
OLD48,100.0,100.0,100.0,0.0,100.0,100.0
OLD49,100.0,100.0,100.0,0.0,100.0,100.0
OLD50,100.0,100.0,100.0,0.0,100.0,100.0
OLD51,100.0,100.0,100.0,0.0,100.0,100.0
OLD52,100.0,100.0,100.0,0.0,100.0,100.0
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,96.67,100.0,98.33,0.0,98.33,98.33
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,0.0,100.0,50.0,0.0,50.0,50.0
OLD60,100.0,0.0,50.0,0.0,50.0,50.0
OLD61,100.0,3.33,51.67,0.0,51.67,51.67
OLD62,100.0,3.33,51.67,0.0,51.67,51.67
OLD63,0.0,100.0,50.0,0.0,50.0,50.0
