Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
RBF24,96.44,3.17,LINEAR24,88.66,8.16,OLD24,100.0,0.0
RBF25,87.43,8.73,LINEAR25,83.97,10.96,OLD25,100.0,0.0
RBF26,90.74,8.07,LINEAR26,90.97,8.57,OLD26,99.81,0.56
RBF27,88.03,5.38,LINEAR27,90.19,5.89,OLD27,100.0,0.0
RBF28,85.45,6.76,LINEAR28,88.15,7.66,OLD28,99.81,0.56
RBF29,86.38,4.0,LINEAR29,88.31,6.82,OLD29,99.81,0.56
RBF30,76.5,4.99,LINEAR30,79.3,5.88,OLD30,95.19,1.55
RBF31,96.87,2.11,LINEAR31,88.66,8.91,OLD31,100.0,0.0
RBF32,87.12,8.89,LINEAR32,84.67,9.19,OLD32,100.0,0.0
RBF33,92.57,6.16,LINEAR33,91.69,8.1,OLD33,99.81,0.56
RBF34,90.97,5.78,LINEAR34,92.08,7.6,OLD34,100.0,0.0
RBF35,89.98,4.05,LINEAR35,92.86,3.94,OLD35,99.81,0.56
RBF36,89.18,4.05,LINEAR36,90.29,6.74,OLD36,100.0,0.0
RBF37,87.55,3.79,LINEAR37,90.37,5.7,OLD37,100.0,0.0
RBF38,80.39,3.46,LINEAR38,77.61,3.98,OLD38,76.85,4.44
RBF39,96.21,2.24,LINEAR39,88.7,9.68,OLD39,100.0,0.0
RBF40,88.81,8.33,LINEAR40,87.84,8.84,OLD40,100.0,0.0
RBF41,91.44,7.32,LINEAR41,91.65,8.58,OLD41,100.0,0.0
RBF42,90.82,5.88,LINEAR42,91.42,7.61,OLD42,100.0,0.0
RBF43,91.07,4.09,LINEAR43,92.51,4.5,OLD43,100.0,0.0
RBF44,89.55,4.35,LINEAR44,90.62,6.78,OLD44,100.0,0.0
RBF45,91.03,2.63,LINEAR45,91.54,4.92,OLD45,100.0,0.0
RBF46,88.74,3.34,LINEAR46,88.42,3.92,OLD46,100.0,0.0
RBF47,81.15,5.95,LINEAR47,79.57,5.75,OLD47,88.89,4.17
RBF48,93.23,4.66,LINEAR48,80.7,14.08,OLD48,100.0,0.0
RBF49,87.45,10.75,LINEAR49,79.77,12.22,OLD49,100.0,0.0
RBF50,88.81,11.67,LINEAR50,87.94,11.57,OLD50,100.0,0.0
RBF51,91.56,7.29,LINEAR51,90.78,8.68,OLD51,100.0,0.0
RBF52,92.02,4.55,LINEAR52,94.47,4.55,OLD52,100.0,0.0
RBF53,88.19,7.72,LINEAR53,91.07,6.73,OLD53,100.0,0.0
RBF54,91.77,3.54,LINEAR54,91.36,6.49,OLD54,100.0,0.0
RBF55,89.3,4.78,LINEAR55,87.2,5.49,OLD55,100.0,0.0
RBF56,87.74,4.57,LINEAR56,86.48,4.16,OLD56,100.0,0.0
RBF57,83.66,6.49,LINEAR57,81.19,5.32,OLD57,99.26,0.88
RBF58,87.74,4.13,LINEAR58,89.96,5.2,OLD58,50.0,0.0
RBF59,76.42,7.49,LINEAR59,78.21,10.51,OLD59,50.37,0.74
RBF60,82.28,4.57,LINEAR60,80.76,5.32,OLD60,50.19,0.56
RBF61,82.04,4.83,LINEAR61,80.86,8.59,OLD61,50.93,1.69
RBF62,75.76,7.18,LINEAR62,74.69,10.15,OLD62,51.48,1.55
RBF63,75.1,4.15,LINEAR63,72.88,8.0,OLD63,50.56,0.83
RBF64,73.58,2.59,LINEAR64,74.79,6.85,OLD64,51.3,1.82
RBF65,77.2,4.73,LINEAR65,75.99,4.31,OLD65,60.37,2.32
RBF66,74.96,5.67,LINEAR66,72.18,6.52,OLD66,61.3,2.32
RBF67,75.12,3.19,LINEAR67,70.7,5.84,OLD67,59.26,3.24
RBF68,59.65,3.25,LINEAR68,58.15,4.17,OLD68,54.26,0.88
RBF69,55.47,2.87,LINEAR69,57.82,1.6,OLD69,53.52,2.27
RBF70,53.23,2.97,LINEAR70,55.35,3.37,OLD70,54.81,2.12
RBF71,53.5,2.03,LINEAR71,55.29,3.01,OLD71,53.52,2.56
RBF72,52.51,2.51,LINEAR72,53.6,5.18,OLD72,55.19,2.12
RBF73,53.68,2.79,LINEAR73,54.86,4.12,OLD73,55.19,2.27
RBF74,52.18,2.56,LINEAR74,52.22,2.63,OLD74,53.7,1.62
RBF75,50.99,3.64,LINEAR75,51.62,4.03,OLD75,54.81,1.55
RBF76,73.56,6.44,LINEAR76,76.75,7.87,OLD76,50.19,0.56
RBF77,58.37,3.73,LINEAR77,65.43,8.17,OLD77,53.89,1.86
RBF78,57.78,3.63,LINEAR78,64.86,7.07,OLD78,53.52,1.3
RBF79,57.57,1.69,LINEAR79,61.32,4.4,OLD79,55.19,2.42
RBF80,54.94,2.99,LINEAR80,58.15,4.8,OLD80,54.81,2.82
RBF81,56.46,2.63,LINEAR81,55.41,3.49,OLD81,55.55,2.77
RBF82,51.87,3.74,LINEAR82,52.86,5.38,OLD82,55.37,2.17
RBF83,51.65,2.55,LINEAR83,54.05,2.98,OLD83,55.56,1.87
RBF84,58.54,4.03,LINEAR84,63.13,8.05,OLD84,53.7,1.11
RBF85,63.21,3.68,LINEAR85,68.33,3.32,OLD85,55.56,2.21
RBF86,57.49,2.96,LINEAR86,63.77,3.82,OLD86,56.3,2.17
RBF87,57.37,3.89,LINEAR87,59.12,3.13,OLD87,55.37,2.61
RBF88,51.07,1.29,LINEAR88,54.18,4.26,OLD88,55.55,1.86
RBF89,55.51,3.78,LINEAR89,57.47,5.77,OLD89,56.67,2.04
RBF90,65.02,4.45,LINEAR90,69.22,8.52,OLD90,57.04,3.09
RBF91,59.88,2.99,LINEAR91,66.09,5.78,OLD91,59.08,2.52
RBF92,59.73,4.07,LINEAR92,62.45,4.13,OLD92,57.04,2.0
RBF93,56.81,3.82,LINEAR93,57.24,3.43,OLD93,55.0,2.89
RBF94,55.47,3.25,LINEAR94,58.77,4.36,OLD94,56.67,1.67
RBF95,64.06,5.7,LINEAR95,68.25,6.17,OLD95,62.78,3.0
RBF96,61.27,3.6,LINEAR96,66.92,5.1,OLD96,57.96,2.17
RBF97,57.02,2.24,LINEAR97,59.77,2.34,OLD97,57.59,2.06
RBF98,57.41,3.41,LINEAR98,59.48,3.56,OLD98,57.04,1.11
RBF99,61.48,2.88,LINEAR99,67.24,4.35,OLD99,62.96,4.15
RBF100,57.04,4.12,LINEAR100,62.39,3.81,OLD100,58.89,2.63
RBF101,57.49,4.6,LINEAR101,58.01,4.32,OLD101,57.78,2.04
RBF102,62.76,5.02,LINEAR102,63.29,5.65,OLD102,59.63,2.74
RBF103,58.6,1.34,LINEAR103,63.37,3.76,OLD103,61.3,2.32
RBF104,59.12,3.43,LINEAR104,60.31,5.14,OLD104,59.44,1.86
RBF105,67.43,3.45,LINEAR105,66.81,6.28,OLD105,65.74,3.35
RBF106,60.8,3.27,LINEAR106,59.86,5.42,OLD106,60.37,2.61
