Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std,Model,Average Test Score Mean,Average Test Score Std
QP20_QP42,51.56,1.96,QP20_QP42,54.74,4.39,QP20_QP42,55.17,2.14
QP20_QP45,55.2,3.7,QP20_QP45,57.08,5.58,QP20_QP45,56.83,1.99
QP25_QP27,65.95,5.11,QP25_QP27,69.81,8.26,QP25_QP27,57.33,3.06
QP25_QP32,60.59,3.62,QP25_QP32,66.15,5.45,QP25_QP32,58.84,2.49
QP25_QP39,59.5,3.91,QP25_QP39,62.54,3.9,QP25_QP39,56.83,2.0
QP25_QP42,57.28,3.89,QP25_QP42,57.07,3.28,QP25_QP42,55.0,2.72
QP25_QP45,55.18,3.19,QP25_QP45,58.48,4.21,QP25_QP45,57.17,2.23
QP30_QP32,64.85,5.94,QP30_QP32,68.68,5.98,QP30_QP32,62.5,2.97
QP30_QP39,61.17,3.41,QP30_QP39,66.82,4.82,QP30_QP39,57.84,2.09
QP30_QP42,57.2,2.19,QP30_QP42,60.02,2.34,QP30_QP42,57.34,2.11
QP30_QP45,57.28,3.24,QP30_QP45,59.05,3.62,QP30_QP45,57.0,1.05
QP32_QP39,61.59,2.74,QP32_QP39,67.26,4.1,QP32_QP39,62.67,4.02
QP32_QP42,57.46,4.11,QP32_QP42,62.41,3.59,QP32_QP42,58.83,2.49
QP32_QP45,57.31,4.38,QP32_QP45,57.84,4.1,QP32_QP45,58.0,2.05
QP35_QP39,62.11,5.15,QP35_QP39,63.26,5.33,QP35_QP39,59.84,2.66
QP35_QP42,58.7,1.31,QP35_QP42,62.91,3.84,QP35_QP42,60.83,2.63
QP35_QP45,58.7,3.49,QP35_QP45,60.13,4.88,QP35_QP45,60.0,2.48
QP40_QP42,67.32,3.27,QP40_QP42,66.46,6.02,QP40_QP42,66.0,3.26
QP40_QP45,61.07,3.2,QP40_QP45,59.96,5.13,QP40_QP45,61.0,3.16
