Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD36,100.0,100.0,100.0,0.0,100.0,100.0
OLD37,100.0,100.0,100.0,0.0,100.0,100.0
OLD38,53.33,96.67,75.0,0.0,75.0,75.0
OLD39,100.0,100.0,100.0,0.0,100.0,100.0
OLD40,100.0,100.0,100.0,0.0,100.0,100.0
OLD41,100.0,100.0,100.0,0.0,100.0,100.0
OLD42,100.0,100.0,100.0,0.0,100.0,100.0
OLD43,100.0,100.0,100.0,0.0,100.0,100.0
OLD44,100.0,100.0,100.0,0.0,100.0,100.0
OLD45,100.0,100.0,100.0,0.0,100.0,100.0
OLD46,100.0,100.0,100.0,0.0,100.0,100.0
OLD47,83.33,90.0,86.67,0.0,86.67,86.67
OLD48,100.0,100.0,100.0,0.0,100.0,100.0
OLD49,100.0,100.0,100.0,0.0,100.0,100.0
OLD50,100.0,100.0,100.0,0.0,100.0,100.0
OLD51,100.0,100.0,100.0,0.0,100.0,100.0
OLD52,100.0,100.0,100.0,0.0,100.0,100.0
OLD53,100.0,100.0,100.0,0.0,100.0,100.0
OLD54,100.0,100.0,100.0,0.0,100.0,100.0
OLD55,100.0,100.0,100.0,0.0,100.0,100.0
OLD56,100.0,100.0,100.0,0.0,100.0,100.0
OLD57,100.0,100.0,100.0,0.0,100.0,100.0
OLD58,0.0,100.0,50.0,0.0,50.0,50.0
OLD59,100.0,3.33,51.67,0.0,51.67,51.67
OLD60,96.67,3.33,50.0,0.0,50.0,50.0
OLD61,100.0,3.33,51.67,0.0,51.67,51.67
OLD62,76.67,30.0,53.33,0.0,53.33,53.33
OLD63,0.0,100.0,50.0,0.0,50.0,50.0
OLD64,6.67,100.0,53.33,0.0,53.33,53.33
OLD65,33.33,93.33,63.33,0.0,63.33,63.33
OLD66,43.33,86.67,65.0,0.0,65.0,65.0
OLD67,53.33,66.67,60.0,0.0,60.0,60.0
OLD68,83.33,23.33,53.33,0.0,53.33,53.33
OLD69,93.33,13.33,53.33,0.0,53.33,53.33
OLD70,66.67,40.0,53.33,0.0,53.33,53.33
OLD71,60.0,50.0,55.0,0.0,55.0,55.0
OLD72,6.67,96.67,51.67,0.0,51.67,51.67
OLD73,10.0,100.0,55.0,0.0,55.0,55.0
OLD74,43.33,66.67,55.0,0.0,55.0,55.0
OLD75,23.33,83.33,53.33,0.0,53.33,53.33
OLD76,0.0,100.0,50.0,0.0,50.0,50.0
OLD77,93.33,10.0,51.67,0.0,51.67,51.67
OLD78,76.67,33.33,55.0,0.0,55.0,55.0
OLD79,20.0,86.67,53.33,0.0,53.33,53.33
OLD80,6.67,96.67,51.67,0.0,51.67,51.67
OLD81,10.0,96.67,53.33,0.0,53.33,53.33
OLD82,43.33,73.33,58.33,0.0,58.33,58.33
OLD83,16.67,93.33,55.0,0.0,55.0,55.0
OLD84,13.33,86.67,50.0,0.0,50.0,50.0
OLD85,20.0,90.0,55.0,0.0,55.0,55.0
OLD86,83.33,23.33,53.33,0.0,53.33,53.33
OLD87,33.33,76.67,55.0,0.0,55.0,55.0
OLD88,43.33,66.67,55.0,0.0,55.0,55.0
OLD89,23.33,90.0,56.67,0.0,56.67,56.67
OLD90,26.67,93.33,60.0,0.0,60.0,60.0
OLD91,63.33,50.0,56.67,0.0,56.67,56.67
OLD92,16.67,93.33,55.0,0.0,55.0,55.0
OLD93,63.33,53.33,58.33,0.0,58.33,58.33
OLD94,23.33,86.67,55.0,0.0,55.0,55.0
OLD95,63.33,63.33,63.33,0.0,63.33,63.33
OLD96,33.33,83.33,58.33,0.0,58.33,58.33
OLD97,63.33,60.0,61.67,0.0,61.67,61.67
OLD98,66.67,50.0,58.33,0.0,58.33,58.33
OLD99,33.33,86.67,60.0,0.0,60.0,60.0
OLD100,43.33,76.67,60.0,0.0,60.0,60.0
OLD101,23.33,93.33,58.33,0.0,58.33,58.33
OLD102,33.33,90.0,61.67,0.0,61.67,61.67
OLD103,53.33,73.33,63.33,0.0,63.33,63.33
OLD104,23.33,96.67,60.0,0.0,60.0,60.0
OLD105,63.33,80.0,71.67,0.0,71.67,71.67
OLD106,23.33,96.67,60.0,0.0,60.0,60.0
